Facility Type,Loc Id,ADO,State Id,County,County State,City,Name,Ownership,Use,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,Elevation,Magnetic Variation,Sectional,Tie In FSS Id,Tie In FSS Name,FSS Toll Free Number,Fuel Types,ATCT,UNICOM,CTAF,ICAO Id
AIRPORT,MMV,SEA,OR,YAMHILL,OR,MC MINNVILLE,MC MINNVILLE MUNI,PU,PU,045-11-40.4000N,162700.4000N,123-08-09.8000W,0443289.8000W,162.6,19E,SEATTLE,MMV,MC MINNVILLE,1-800-WX-BRIEF,100LL A,N,123.000,123.000,KMMV
AIRPORT,MNE,LNM,LA,WEBSTER,LA,MINDEN,MINDEN,PU,PU,032-38-45.7000N,117525.7000N,093-17-53.1000W,0335873.1000W,278.4,04E,MEMPHIS,FTW,FORT WORTH,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMNE
AIRPORT,MNF,NONE,MO,HOWELL,MO,MOUNTAIN VIEW,MOUNTAIN VIEW,PU,PU,036-59-34.2000N,133174.2000N,091-42-52.1000W,0330172.1000W,1182,00W,KANSAS CITY,COU,COLUMBIA,1-800-WX-BRIEF,100LL,N,122.800,122.800,KMNF
AIRPORT,MNI,ATL,SC,CLARENDON,SC,MANNING,SANTEE COOPER RGNL,PU,PU,033-35-13.5600N,120913.5620N,080-12-31.2100W,0288751.2120W,102.7,06W,CHARLOTTE,AND,ANDERSON,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMNI
AIRPORT,MNM,DET,MI,MENOMINEE,MI,MENOMINEE,MENOMINEE RGNL,PU,PU,045-07-36.0800N,162456.0760N,087-38-18.7500W,0315498.7540W,624.6,03W,GREEN BAY,GRB,GREEN BAY,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMNM
AIRPORT,MNN,DET,OH,MARION,OH,MARION,MARION MUNI,PU,PU,040-36-58.5000N,146218.5000N,083-03-48.5000W,0299028.5000W,993.4,05W,DETROIT,CLE,CLEVELAND,1-800-WX-BRIEF,100LL A1 A1+,N,122.800,122.800,KMNN
AIRPORT,MNV,MEM,TN,MONROE,TN,MADISONVILLE,MONROE COUNTY,PU,PU,035-32-42.8300N,127962.8350N,084-22-49.4400W,0303769.4410W,1031,04W,ATLANTA,BNA,NASHVILLE,1-800-WX-BRIEF,100LL A1+,N,123.000,123.000,KMNV
AIRPORT,MNZ,TEX,TX,HAMILTON,TX,HAMILTON,HAMILTON MUNI,PU,PU,031-39-57.3100N,113997.3150N,098-08-55.1200W,0353335.1150W,1304.8,07E,SAN ANTONIO,FTW,FORT WORTH,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMNZ
AIRPORT,MOB,JAN,AL,MOBILE,AL,MOBILE,MOBILE RGNL,PU,PU,030-41-29.1000N,110489.1000N,088-14-34.2000W,0317674.2000W,218.7,03W,NEW ORLEANS,ANB,ANNISTON,1-800-WX-BRIEF,100LL A A+,Y,122.950,118.300,KMOB
AIRPORT,MOD,SFO,CA,STANISLAUS,CA,MODESTO,MODESTO CITY-COUNTY-HARRY SHAM FLD,PU,PU,037-37-32.9700N,135452.9690N,120-57-15.9500W,0435435.9480W,99.2,16E,SAN FRANCISCO,RIU,RANCHO MURIETA,1-800-WX-BRIEF,100LL A A1+,Y,122.950,125.300,KMOD
